francais,genre,type,latin
son,N/A,DET,eius
ce,Masc,DET,Hoc
du,Masc,ADP,ex
au,Masc,ADP,In
de,N/A,ADP,ex
mon,N/A,DET,Meus
leur,N/A,DET,illorum
notre,N/A,DET,Nostra
votre,N/A,DET,vestra
quelque,N/A,ADV,quidam
ton,Masc,NOUN,vestra
tout,N/A,ADV,Cunctis
chaque,N/A,DET,inter
aucun,Masc,DET,nemo
tel,Masc,ADJ,talis
certain,Masc,ADJ,certum
plusieurs,N/A,DET,pluribus
d',N/A,DET,D
nul,Masc,ADJ,no
deux,N/A,NUM,duo
cent,N/A,NUM,centum
mille,Fem,ADJ,mille
trois,N/A,NUM,trium
quatre,N/A,NUM,quatuor
vingt,N/A,NUM,viginti
cinq,N/A,NUM,quinque
dix,N/A,NUM,decem
neuf,Masc,ADJ,novem
six,N/A,NUM,six
huit,N/A,NUM,octo
sept,N/A,NUM,septem
trente,N/A,X,triginta
quarante,N/A,NUM,quadraginta
cinquante,Fem,ADJ,quinquaginta
quinze,N/A,NUM,quindecim
douze,Masc,NOUN,duodecim
un,Masc,DET,A
de,N/A,ADP,ex
le,Masc,DET,In
en,N/A,ADP,in
dans,N/A,ADP,In
pour,N/A,ADP,Enim
par,N/A,ADP,a
sur,N/A,ADP,in
avec,N/A,ADP,cum
sans,N/A,ADP,sincere
sous,N/A,ADP,inferius
entre,N/A,ADP,inter
vers,N/A,ADP,ad
chez,N/A,ADP,in domo
jusque,N/A,ADJ,etiam
contre,N/A,ADP,contra
devant,N/A,ADP,ante
depuis,N/A,ADP,Cum
pendant,N/A,ADP,in
avant,N/A,ADP,Ante
voici,N/A,VERB,hic
selon,N/A,ADP,secundum
parmi,N/A,ADP,inter
afin,N/A,ADV,ut
hors,N/A,ADP,ex
durant,N/A,ADP,in
plein,Masc,ADJ,plenus
Pronoms,N/A,PROPN,Pronomen
il,Masc,PRON,qui
je,N/A,PRON,I
se,N/A,PRON,SE
qui,N/A,PRON,OMS
elle,Fem,PRON,Illa
ce,Masc,DET,Hoc
le,Masc,DET,In
que,N/A,SCONJ,qui
vous,N/A,PRON,Tu
me,N/A,PRON,me
on,N/A,PRON,nos
lui,N/A,PRON,illi
nous,N/A,PRON,Nos
y,N/A,PRON,Y
en,N/A,ADP,in
tu,Masc,VERB,tu
moi,N/A,PRON,Me
te,Masc,NOUN,tu
celui,Masc,PRON,unus
rien,N/A,PRON,Nihil
dont,N/A,PRON,quo
tout,N/A,ADV,Cunctis
cela,N/A,PRON,qui
autre,N/A,ADJ,alius
un,Masc,DET,A
toi,N/A,NOUN,Tu
lequel,Masc,PRON,qui
leur,N/A,DET,illorum
quoi,N/A,PRON,Quid
personne,Fem,NOUN,persona
l',N/A,DET,L`
chacun,Masc,PRON,inter
auquel,Masc,NOUN,qui
quelqu',N/A,DET,aliquis
d',N/A,DET,D
ceci,N/A,PRON,hoc
l',N/A,DET,L`
soi,N/A,PRON,sui
sien,Masc,ADJ,eius
mien,Masc,NOUN,mea
aucun,Masc,DET,nemo
homme,Masc,NOUN,homo
mari,Masc,NOUN,vir
femme,Fem,NOUN,mulieres
jour,Masc,NOUN,dies
mer,N/A,VERB,mari
temps,Masc,NOUN,tempus
main,Masc,ADJ,manus
chose,Fem,NOUN,res
vie,Fem,NOUN,vita
yeux,Masc,NOUN,oculi
heure,Fem,NOUN,horam
monde,Masc,NOUN,mundus
enfant,N/A,NOUN,puer
fois,Fem,NOUN,temporum
moment,Masc,NOUN,momentum
fille,Fem,ADJ,puella
coeur,Masc,NOUN,cor
an,Masc,NOUN,annus
terre,Fem,NOUN,tellus
dieu,Masc,NOUN,Deus
monsieur,Masc,NOUN,Domine
voix,Masc,ADJ,vox
maison,Fem,NOUN,Domum
coup,Masc,NOUN,incido
air,Masc,NOUN,aera
mot,Masc,NOUN,sermo
nuit,Fem,NOUN,nocte
eau,Fem,NOUN,aquam
ami,Masc,NOUN,amicum
porte,N/A,VERB,ostium
amour,Masc,NOUN,caritas
pied,N/A,ADJ,pes
gens,Masc,NOUN,populo
nom,Masc,NOUN,nomen
pays,Masc,NOUN,regione
ciel,Masc,NOUN,caelo
regard,Masc,ADJ,aspectus
mort,Fem,NOUN,mortiferum
esprit,Masc,ADJ,spiritus
ville,Fem,NOUN,civitas
rue,Fem,NOUN,Platea
soir,Masc,NOUN,vespera
chambre,Fem,NOUN,cubiculum
pas,N/A,ADV,non
soleil,Masc,NOUN,sol
roi,Masc,NOUN,rex
corps,Masc,NOUN,corpus
bras,Masc,NOUN,brachium
place,Fem,NOUN,conloco
parti,Masc,NOUN,pars
visage,Masc,NOUN,faciem
bruit,Masc,NOUN,strepitus
lettre,Masc,NOUN,littera
franc,Masc,ADJ,franc
fond,Masc,NOUN,imo
force,Fem,NOUN,fortitudo
effet,Masc,NOUN,ecfectio
milieu,Masc,NOUN,Medium
saint,Masc,ADJ,sanctus
travail,Masc,NOUN,opus
mois,Masc,NOUN,menses
fils,Masc,NOUN,filius
raison,Fem,NOUN,ratio
point,Masc,NOUN,punctus
personne,Fem,NOUN,persona
peuple,Masc,NOUN,populo
fait,N/A,VERB,do
parole,Fem,NOUN,oratio
guerre,Fem,NOUN,bella
affaire,Fem,NOUN,remissio
matin,Masc,NOUN,Matutina
pierre,Fem,NOUN,petra 
vent,N/A,ADV,vento
doute,Masc,NOUN,dubito
front,N/A,VERB,fronte
ombre,N/A,NOUN,umbra
part,N/A,NOUN,pars
besoin,Masc,NOUN,postulo
question,Fem,NOUN,quaestio
peine,Fem,NOUN,poena
tour,N/A,NOUN,circum
famille,Fem,NOUN,familia
madame,Fem,NOUN,Mrs
sorte,Fem,NOUN,generis
figure,N/A,VERB,figura
droit,Masc,NOUN,jus
peur,Fem,NOUN,timeo
bout,N/A,ADV,finis 
lieu,Masc,NOUN,conloco
silence,Fem,NOUN,silentio
chef,N/A,NOUN,summus
bois,Masc,NOUN,bibo
mari,Masc,NOUN,vir
histoire,Fem,NOUN,historia
feu,Masc,NOUN,igneus
partie,Fem,NOUN,pars
face,Fem,NOUN,faciem
mouvement,N/A,ADV,motus
fin,N/A,NOUN,Finis
route,Fem,NOUN,road
livre,N/A,NOUN,libo
arbre,N/A,ADJ,Ligno
cas,Masc,NOUN,casus
mur,Masc,NOUN,muro
ordre,N/A,VERB,ordinatio
est,N/A,AUX,Orientalis
bonheur,Masc,NOUN,felicitas
argent,Masc,NOUN,pecunia
cause,Fem,NOUN,facio
travers,Masc,NOUN,per
grand,Masc,ADJ,magnatus
instant,Masc,NOUN,momentum
oeil,Masc,NOUN,oculus
forme,Fem,NOUN,figura
chemin,Masc,NOUN,semita
cheveu,Masc,NOUN,capillus
plaisir,Masc,NOUN,voluptas
suite,Fem,NOUN,post
sang,Masc,ADJ,sanguineus
sentiment,N/A,VERB,affectu
fleur,Masc,NOUN,flos
service,Masc,NOUN,ministerium
table,Masc,NOUN,mensa
paix,Fem,NOUN,pax
moyen,Masc,ADJ,Mediocris
lit,Masc,NOUN,lectus
voiture,Fem,NOUN,CAR
nature,Fem,NOUN,natura
or,N/A,CCONJ,aureo
pouvoir,N/A,VERB,potentia
nouveau,Masc,ADJ,novus
joie,N/A,VERB,laetifico
bouche,Fem,NOUN,os
petit,Masc,ADJ,paululus
sens,Masc,NOUN,sensus
cri,N/A,AUX,CALUM
cheval,Masc,NOUN,equus
loi,Fem,NOUN,legis
ministre,Masc,NOUN,ministrum
politique,N/A,ADJ,Policy
oreille,Fem,NOUN,auricula
fortune,N/A,ADJ,fortuna
compte,Masc,NOUN,ratio
champ,Masc,ADJ,ager
manier,N/A,ADV,manubrio
action,Fem,NOUN,actus
exemple,Masc,NOUN,exemplar
couleur,Masc,NOUN,colo
papier,N/A,VERB,charta
mal,Masc,NOUN,nefas
montagne,N/A,ADJ,mons
sol,N/A,DET,humus
oeuvre,N/A,NOUN,artwork
cours,Masc,NOUN,sane
cour,Fem,NOUN,atrium
bord,Masc,NOUN,ora
douleur,Fem,NOUN,dolor
salle,Fem,NOUN,locus
premier,Masc,ADJ,prior
projet,Masc,NOUN,project
journal,Masc,ADJ,diurna
geste,N/A,ADJ,gestus
situation,Fem,NOUN,condicio
oiseau,Masc,NOUN,avis
million,Fem,NOUN,decies
prix,Masc,NOUN,pricio
groupe,Masc,NOUN,cohors
centre,Masc,NOUN,centrum
malheur,Masc,NOUN,infortunium
honneur,Masc,NOUN,honos
garde,N/A,NOUN,praesideo
larme,N/A,ADJ,lacero
chien,Masc,NOUN,canor
peau,Fem,NOUN,cute
reste,N/A,VERB,maneo
nombre,Masc,NOUN,numerus
mesure,Fem,NOUN,mensura
article,Masc,NOUN,articulus
vue,Fem,NOUN,view
long,Masc,ADJ,longo
effort,Masc,NOUN,conatus
passion,Fem,NOUN,affectio
rapport,Masc,NOUN,report
soldat,Masc,NOUN,miles
signe,Masc,NOUN,signum
mariage,Masc,NOUN,matrimonium
plan,Masc,NOUN,consilio
dos,Masc,ADJ,retrorsum
marche,Fem,NOUN,ambulate
souvenir,N/A,VERB,memoria
dame,N/A,ADV,jugo
conseil,Masc,NOUN,consilio
sou,N/A,PROPN,pulmenti
coin,Masc,NOUN,angulus
jardin,Masc,ADJ,hortus
doigt,Masc,NOUN,digitus
objet,Masc,ADJ,objecto
fer,Masc,NOUN,ferrum
lendemain,Masc,NOUN,sequenti die
train,Masc,NOUN,trado
papa,Fem,NOUN,dad
valeur,Fem,NOUN,valor
jeu,Masc,NOUN,ludus
secret,Masc,NOUN,apsconditus
haut,Masc,ADJ,altum
vieillard,Masc,NOUN,senex
docteur,Masc,NOUN,medicus
ton,Masc,NOUN,vestra
jambe,Fem,NOUN,crus
endroit,N/A,VERB,conloco
minute,Fem,NOUN,minute
nuage,N/A,ADV,nubis
feuille,Fem,ADJ,folium
avenir,Masc,NOUN,futurum
sourire,N/A,VERB,risus
semaine,Fem,NOUN,septimana
prince,Fem,NOUN,princeps
bien,N/A,ADV,Bonum
seigneur,Masc,NOUN,dominus
art,Fem,DET,artis
foule,Fem,ADJ,turba
ligne,Fem,NOUN,linea
soin,Masc,NOUN,cura
hasard,Masc,NOUN,casus
condition,Fem,NOUN,conditio
classe,Fem,NOUN,genus
voyage,Masc,NOUN,iter
avoir,N/A,VERB,ut
faire,N/A,VERB,Facere
dire,N/A,VERB,dico
pouvoir,N/A,VERB,potentia
aller,N/A,VERB,pereo
voir,N/A,VERB,video
vouloir,N/A,VERB,ad volunt
venir,N/A,VERB,venio
devoir,N/A,VERB,officium
prendre,N/A,VERB,capio
trouver,N/A,VERB,reperio
donner,N/A,VERB,dono
falloir,N/A,VERB,ut opus
parler,N/A,VERB,loquor
mettre,N/A,VERB,inpono
savoir,N/A,VERB,scio
passer,N/A,VERB,transeo
regarder,N/A,VERB,respicio
aimer,N/A,VERB,ut
croire,N/A,VERB,credo
demander,N/A,VERB,peto
rester,N/A,VERB,maneo
entendre,N/A,VERB,audio
penser,N/A,VERB,puto
arriver,N/A,VERB,venio
devenir,N/A,VERB,fio
sentir,N/A,VERB,sentio
sembler,N/A,VERB,videbo
tenir,N/A,VERB,teneo
comprendre,N/A,VERB,intelligere
rendre,N/A,VERB,reddo
attendre,N/A,VERB,exspectare
sortir,N/A,VERB,egredi
vivre,N/A,VERB,lenteo
entrer,N/A,VERB,intreo
reprendre,N/A,VERB,ad resumere
porter,N/A,VERB,ad portandum
chercher,N/A,VERB,quaero
revenir,N/A,VERB,redire
appeler,N/A,VERB,vocare
mourir,N/A,VERB,morior
partir,N/A,VERB,relinquo
jeter,N/A,VERB,proicio
suivre,N/A,VERB,sequor
montrer,N/A,VERB,ostendo
tomber,N/A,VERB,cadere
ouvrir,N/A,VERB,aperto
perdre,N/A,VERB,amitto
commencer,N/A,VERB,ut satus
marcher,N/A,VERB,ambulare
lever,N/A,VERB,levo
permettre,N/A,VERB,patior
asseoir,N/A,VERB,discedo
monter,N/A,VERB,ad eum
apercevoir,N/A,VERB,ad notitiam
recevoir,N/A,VERB,recipero
servir,N/A,VERB,servo
finir,N/A,VERB,consumo
rire,N/A,ADJ,risi
crier,Masc,ADJ,clamor
jouer,N/A,VERB,pale
tourner,N/A,VERB,converto
garder,N/A,VERB,retineo
quitter,N/A,VERB,ut relinquo
manger,N/A,VERB,comedo
courir,N/A,VERB,run
continuer,N/A,VERB,permaneo
oublier,N/A,VERB,obliviscor
descendre,N/A,VERB,descendere
cacher,N/A,VERB,celare
poser,N/A,VERB,ut
tirer,N/A,VERB,ad trahendum
ajouter,N/A,VERB,addo
agir,N/A,VERB,actus
retrouver,N/A,VERB,reperio
offrir,N/A,VERB,offerre
apprendre,N/A,VERB,disce
tuer,N/A,VERB,occido
retourner,N/A,VERB,reditus
rencontrer,N/A,VERB,obcurro
envoyer,N/A,VERB,mitto
dormir,Masc,NOUN,soporo
pousser,N/A,VERB,ventriculo
rappeler,N/A,VERB,conmonefacio
lire,N/A,VERB,legit
changer,N/A,VERB,ad mutare
essayer,N/A,VERB,temptare
compter,N/A,VERB,comes
occuper,N/A,VERB,occupo
expliquer,N/A,VERB,explano
frapper,N/A,VERB,ledo
travailler,N/A,VERB,ad opus
obtenir,N/A,VERB,impetro
rentrer,N/A,VERB,redire
pleurer,N/A,VERB,CALUM
